@relation 'dataset-weka.filters.unsupervised.attribute.AddValues-C10-L3,4,5'

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2}
@attribute outputs-3 {0,1,2}

@data
47,'2024/12/09 20:05:38:099',1,-0.000805,0.002268,-0.003726,0.093253,-0.016065,2.440795,1,?,?
48,'2024/12/09 20:05:38:294',1,0.007785,0.00178,0.004507,0.091783,-0.015434,2.438601,1,?,?
49,'2024/12/09 20:05:38:480',1,0.003802,0.0007,0.005816,0.091786,-0.015633,2.437834,1,?,?
50,'2024/12/09 20:05:38:697',1,-0.005833,0.001115,0.000556,0.09208,-0.017435,2.437926,1,?,?
51,'2024/12/09 20:05:38:920',1,-0.004687,0.0048,-0.000518,0.093774,-0.019202,2.438271,1,?,?
52,'2024/12/09 20:05:39:122',1,0.001378,-0.00256,0.000628,0.094872,-0.020039,2.43864,1,?,?
53,'2024/12/09 20:05:39:222',1,-0.001054,-0.00433,0.010971,0.095838,-0.020158,2.439244,1,?,?
54,'2024/12/09 20:05:39:430',1,0.006431,0.000613,-0.001616,0.095209,-0.020793,2.441956,1,?,?
55,'2024/12/09 20:05:45:882',2,0.008923,0.000984,0.002274,-0.558932,-0.060559,2.368496,2,?,?
56,'2024/12/09 20:05:46:085',2,-0.008727,0.000108,0.007664,-0.55984,-0.06381,2.368934,2,?,?
57,'2024/12/09 20:05:46:292',2,0.008037,-0.004778,-0.002566,-0.560582,-0.064827,2.368701,2,?,?
58,'2024/12/09 20:05:46:498',2,-0.007094,-0.004687,0.000502,-0.561303,-0.065622,2.367883,2,?,?
59,'2024/12/09 20:05:46:667',2,-0.001283,-0.000003,0.003231,-0.562459,-0.068288,2.369079,2,?,?
60,'2024/12/09 20:05:46:877',2,0.004287,-0.000038,0.003427,-0.563112,-0.067846,2.367809,2,?,?
61,'2024/12/09 20:05:47:101',2,0.004474,-0.000863,0.000648,-0.564324,-0.071433,2.364929,2,?,?
62,'2024/12/09 20:05:47:318',2,0.002479,-0.003612,0.007141,-0.564434,-0.072836,2.362537,2,?,?
63,'2024/12/09 20:05:47:519',2,-0.007448,-0.00019,-0.000776,-0.564069,-0.069949,2.363045,2,?,?
64,'2024/12/09 20:05:47:730',2,0.007852,-0.004846,0.004814,-0.564233,-0.069934,2.363245,2,?,?
65,'2024/12/09 20:05:47:823',2,0.004932,-0.000594,-0.008151,-0.56359,-0.068939,2.364297,2,?,?
66,'2024/12/09 20:05:48:031',2,0.006328,-0.000696,0.00889,-0.563765,-0.06816,2.365196,2,?,?
67,'2024/12/09 20:05:48:237',2,0.008766,-0.000286,-0.007532,-0.563839,-0.068339,2.365265,2,?,?
68,'2024/12/09 20:05:48:422',2,0.001965,-0.004607,0.002894,-0.563265,-0.066927,2.365557,2,?,?
69,'2024/12/09 20:05:48:650',2,-0.000584,-0.005952,0.010705,-0.563737,-0.067363,2.366419,2,?,?
70,'2024/12/09 20:05:48:853',2,0.003071,0.000136,0.00061,-0.564532,-0.067841,2.366038,2,?,?
71,'2024/12/09 20:05:49:041',2,-0.000365,0.000159,-0.002299,-0.564703,-0.069075,2.365213,2,?,?
72,'2024/12/09 20:05:49:255',2,-0.010316,0.001183,-0.006792,-0.565967,-0.072463,2.362518,2,?,?
73,'2024/12/09 20:05:49:469',2,-0.004165,-0.000443,0.008741,-0.567242,-0.076643,2.361758,2,?,?
74,'2024/12/09 20:05:49:670',2,0.009615,-0.000633,0.001419,-0.567702,-0.07634,2.359111,2,?,?
75,'2024/12/09 20:05:49:876',2,-0.003021,-0.008466,0.008049,-0.56789,-0.078435,2.357844,2,?,?
76,'2024/12/09 20:05:50:081',2,0.00025,-0.001538,0.001517,-0.567473,-0.077894,2.359295,2,?,?
77,'2024/12/09 20:05:50:268',2,-0.00543,-0.000402,0.008296,-0.566904,-0.072275,2.360924,2,?,?
78,'2024/12/09 20:05:50:485',2,0.000996,-0.001646,0.00353,-0.568524,-0.074367,2.361168,2,?,?
79,'2024/12/09 20:05:50:689',2,0.000923,-0.00063,0.004905,-0.567736,-0.069217,2.361688,2,?,?
80,'2024/12/09 20:05:50:847',2,-0.017621,-0.000585,0.009349,-0.567989,-0.07022,2.363784,2,?,?
81,'2024/12/09 20:05:51:105',2,-0.011201,0.00656,-0.001161,-0.567985,-0.068365,2.364547,2,?,?
82,'2024/12/09 20:05:51:312',2,0.000201,-0.004807,0.006319,-0.567985,-0.066699,2.36417,2,?,?
83,'2024/12/09 20:05:51:494',2,-0.004719,0.001225,-0.001942,-0.568666,-0.067357,2.363638,2,?,?
84,'2024/12/09 20:05:51:711',2,-0.001516,-0.006064,0.003417,-0.569204,-0.067578,2.364257,2,?,?
85,'2024/12/09 20:05:51:852',2,0.001722,0.001468,0.002744,-0.570606,-0.070114,2.361105,2,?,?
86,'2024/12/09 20:05:52:026',2,0.002658,-0.003357,0.000055,-0.571263,-0.070895,2.359756,2,?,?
87,'2024/12/09 20:05:52:221',2,-0.003761,-0.001783,0.003203,-0.57097,-0.073434,2.359346,2,?,?
88,'2024/12/09 20:05:52:436',2,-0.002545,-0.005749,0.007351,-0.570189,-0.073119,2.359346,2,?,?
89,'2024/12/09 20:05:52:640',2,0.004875,0.003027,0.001705,-0.569787,-0.071905,2.359993,2,?,?
90,'2024/12/09 20:05:52:852',2,-0.003089,-0.010805,0.002448,-0.568221,-0.07227,2.361579,2,?,?
91,'2024/12/09 20:05:53:036',2,-0.001947,0.00889,-0.003964,-0.56828,-0.07454,2.36073,2,?,?
92,'2024/12/09 20:05:53:257',2,-0.002503,-0.005479,0.008706,-0.569053,-0.073424,2.361137,2,?,?
93,'2024/12/09 20:05:53:459',2,0.003102,-0.002881,0.000702,-0.570462,-0.077005,2.358348,2,?,?
94,'2024/12/09 20:05:53:664',2,-0.000533,0.0006,0.004131,-0.57104,-0.080432,2.356187,2,?,?
95,'2024/12/09 20:05:53:868',2,0.012305,0.00158,0.00289,-0.571416,-0.077928,2.357441,2,?,?
96,'2024/12/09 20:05:54:056',2,-0.004067,0.000833,-0.00275,-0.571416,-0.077365,2.359479,2,?,?
97,'2024/12/09 20:05:54:280',2,0.000521,0.003338,0.001623,-0.570815,-0.077057,2.360482,2,?,?
98,'2024/12/09 20:05:54:484',2,0.002515,-0.001276,0.008008,-0.570349,-0.076573,2.361829,2,?,?
99,'2024/12/09 20:05:54:688',2,-0.00727,-0.002425,0.004165,-0.570301,-0.076711,2.362433,2,?,?
100,'2024/12/09 20:05:54:895',2,0.012942,-0.003938,0.000248,-0.570159,-0.076406,2.362798,2,?,?
101,'2024/12/09 20:05:55:071',2,-0.015257,-0.003428,0.009966,-0.56986,-0.076082,2.364318,2,?,?
102,'2024/12/09 20:06:01:856',3,-0.011224,0.003009,-0.003396,0.857133,-0.076938,2.454301,3,?,?
103,'2024/12/09 20:06:02:062',3,-0.006463,0.008232,-0.009536,0.85868,-0.080778,2.458064,3,?,?
104,'2024/12/09 20:06:02:261',3,0.0069,-0.006752,0.007049,0.85805,-0.077599,2.454347,3,?,?
105,'2024/12/09 20:06:02:472',3,0.0044,0.001864,0.017275,0.859443,-0.079957,2.456782,3,?,?
106,'2024/12/09 20:06:02:676',3,-0.007113,0.001066,0.017415,0.860208,-0.081096,2.459157,3,?,?
107,'2024/12/09 20:06:02:881',3,-0.002039,0.005712,0.001811,0.859751,-0.081463,2.460084,3,?,?
108,'2024/12/09 20:06:03:085',3,-0.004109,0.00216,-0.008204,0.860365,-0.081436,2.460588,3,?,?
109,'2024/12/09 20:06:03:292',3,0.008275,0.001265,0.004132,0.861473,-0.081343,2.460499,3,?,?
110,'2024/12/09 20:06:03:490',3,0.000291,0.00165,0.017609,0.861642,-0.083729,2.461915,3,?,?
111,'2024/12/09 20:06:03:685',3,-0.003226,-0.000683,0.009162,0.863498,-0.083875,2.461412,3,?,?
112,'2024/12/09 20:06:03:900',3,-0.00907,0.001616,0.001339,0.865135,-0.084533,2.461247,3,?,?
113,'2024/12/09 20:06:04:111',3,0.002371,0.000816,0.008673,0.868521,-0.087237,2.462675,3,?,?
114,'2024/12/09 20:06:04:314',3,0.000794,0.005108,0.005009,0.868574,-0.086832,2.462451,3,?,?
115,'2024/12/09 20:06:04:521',3,-0.016,0.002524,0.001953,0.865265,-0.086007,2.461477,3,?,?
116,'2024/12/09 20:06:04:698',3,-0.004306,0.007647,0.007684,0.865471,-0.083556,2.45737,3,?,?
117,'2024/12/09 20:06:04:910',3,0.007518,-0.002427,0.00635,0.866008,-0.083464,2.457719,3,?,?
118,'2024/12/09 20:06:05:032',3,0.001689,-0.000009,0.019733,0.866513,-0.084531,2.458751,3,?,?
119,'2024/12/09 20:06:05:236',3,-0.000827,-0.003082,0.006249,0.863093,-0.091122,2.456435,3,?,?
120,'2024/12/09 20:06:05:440',3,-0.003362,0.001061,0.002347,0.864327,-0.092029,2.458752,3,?,?
121,'2024/12/09 20:06:05:646',3,0.002962,-0.000889,0.011821,0.867205,-0.089179,2.459524,3,?,?
122,'2024/12/09 20:06:05:851',3,0.004908,0.0021,0.000239,0.867934,-0.089648,2.460612,3,?,?
123,'2024/12/09 20:06:06:022',3,0.001008,0.00157,0.00259,0.869027,-0.090295,2.463612,3,?,?
124,'2024/12/09 20:06:06:261',3,0.003701,-0.000858,0.012485,0.870325,-0.09128,2.465469,3,?,?
125,'2024/12/09 20:06:06:468',3,-0.003347,0.003612,0.01112,0.870537,-0.092279,2.465668,3,?,?
126,'2024/12/09 20:06:06:670',3,0.000625,0.004089,0.000813,0.869761,-0.090253,2.463013,3,?,?
127,'2024/12/09 20:06:06:876',3,0.010675,-0.000136,-0.009321,0.869645,-0.088903,2.462689,3,?,?
128,'2024/12/09 20:06:07:078',3,-0.001137,0.00861,0.00073,0.870195,-0.091763,2.466369,3,?,?
129,'2024/12/09 20:06:07:280',3,-0.000524,0.006339,-0.001396,0.871216,-0.092116,2.465366,3,?,?
130,'2024/12/09 20:06:07:489',3,0.000173,0.003233,-0.007156,0.871346,-0.091861,2.46503,3,?,?
131,'2024/12/09 20:06:07:622',3,0.002017,-0.001652,-0.001256,0.871603,-0.092505,2.465044,3,?,?
132,'2024/12/09 20:06:07:823',3,0.009131,0.002847,0.006627,0.872927,-0.091773,2.464294,3,?,?
133,'2024/12/09 20:06:08:021',3,0.001217,0.001321,0.002086,0.872714,-0.092116,2.463889,3,?,?
134,'2024/12/09 20:06:08:222',3,-0.007455,0.000713,-0.007943,0.872718,-0.091084,2.463085,3,?,?
135,'2024/12/09 20:06:08:422',3,0.005671,0.002747,0.002586,0.873604,-0.090208,2.462997,3,?,?
136,'2024/12/09 20:06:08:705',3,0.016201,-0.007816,0.015573,0.874454,-0.092642,2.465379,3,?,?
137,'2024/12/09 20:06:08:927',3,-0.000876,-0.000918,-0.008,0.875026,-0.094735,2.464845,3,?,?
138,'2024/12/09 20:06:09:021',3,-0.000163,0.002231,0.007399,0.876537,-0.094757,2.465226,3,?,?
139,'2024/12/09 20:06:09:230',3,-0.00475,0.003142,-0.003165,0.877054,-0.093843,2.464145,3,?,?
140,'2024/12/09 20:06:09:435',3,0.008754,-0.002633,-0.00283,0.877975,-0.090156,2.461053,3,?,?
141,'2024/12/09 20:06:09:642',3,-0.003026,-0.000028,0.001814,0.87835,-0.094781,2.464159,3,?,?
142,'2024/12/09 20:06:09:824',3,-0.000336,0.004128,-0.000442,0.877379,-0.089739,2.458911,3,?,?
143,'2024/12/09 20:06:10:022',3,-0.000124,0.001468,0.00593,0.878447,-0.089683,2.459886,3,?,?
144,'2024/12/09 20:06:10:255',3,-0.005604,0.001505,0.002475,0.878193,-0.089725,2.459278,3,?,?
145,'2024/12/09 20:06:10:459',3,-0.001297,0.002683,0.004249,0.879154,-0.089044,2.459182,3,?,?
146,'2024/12/09 20:06:10:650',3,-0.002974,0.002844,0.003633,0.880293,-0.089865,2.459812,3,?,?
147,'2024/12/09 20:06:10:863',3,0.001041,0.000762,0.008937,0.882033,-0.090879,2.459216,3,?,?
148,'2024/12/09 20:06:11:074',3,0.001554,0.004444,-0.000696,0.882088,-0.093095,2.462292,3,?,?
149,'2024/12/09 20:06:11:277',3,0.008191,0.003628,-0.005618,0.882222,-0.093325,2.464419,3,?,?
150,'2024/12/09 20:06:11:484',3,-0.001538,0.003066,0.002041,0.88225,-0.092446,2.464571,3,?,?
151,'2024/12/09 20:06:11:689',3,-0.001119,0.006052,0.001798,0.882458,-0.092046,2.462175,3,?,?
152,'2024/12/09 20:06:11:875',3,-0.001256,-0.00019,0.001765,0.882745,-0.090655,2.460024,3,?,?
153,'2024/12/09 20:06:12:091',3,-0.005292,0.004542,0.012353,0.882844,-0.088796,2.458609,3,?,?
154,'2024/12/09 20:06:17:222',4,0.007585,0.005633,-0.009139,0.111654,-0.768167,2.38945,4,?,?
155,'2024/12/09 20:06:17:423',4,0.005415,0.000528,0.0128,0.110556,-0.770417,2.388719,4,?,?
156,'2024/12/09 20:06:17:732',4,-0.011256,-0.000492,-0.011048,0.109836,-0.772919,2.387995,4,?,?
157,'2024/12/09 20:06:17:822',4,0.017076,0.000288,-0.005057,0.112709,-0.769138,2.38891,4,?,?
158,'2024/12/09 20:06:18:036',4,0.001697,-0.007393,-0.001202,0.109678,-0.769539,2.391095,4,?,?
159,'2024/12/09 20:06:18:241',4,-0.008397,0.011682,0.000378,0.106134,-0.770032,2.394439,4,?,?
160,'2024/12/09 20:06:18:439',4,0.006978,-0.008826,0.005134,0.10368,-0.773582,2.393345,4,?,?
161,'2024/12/09 20:06:18:652',4,-0.004172,0.002404,-0.003867,0.102467,-0.775354,2.394799,4,?,?
162,'2024/12/09 20:06:18:855',4,-0.006317,0.009266,-0.011086,0.101451,-0.773203,2.394769,4,?,?
163,'2024/12/09 20:06:19:048',4,-0.006501,-0.000941,0.00092,0.101252,-0.777347,2.395056,4,?,?
164,'2024/12/09 20:06:19:261',4,0.003331,0.000849,0.003453,0.101257,-0.781906,2.395987,4,?,?
165,'2024/12/09 20:06:19:470',4,0.000288,-0.002959,0.004268,0.101494,-0.782634,2.397316,4,?,?
166,'2024/12/09 20:06:19:665',4,-0.001298,0.006749,0.011989,0.100669,-0.78526,2.396844,4,?,?
167,'2024/12/09 20:06:19:880',4,0.005044,-0.001306,0.003172,0.100471,-0.786533,2.394164,4,?,?
168,'2024/12/09 20:06:20:084',4,-0.008451,0.000877,-0.000746,0.098157,-0.782071,2.392537,4,?,?
169,'2024/12/09 20:06:20:271',4,0.000515,0.008712,-0.00871,0.099636,-0.78277,2.390918,4,?,?
170,'2024/12/09 20:06:20:489',4,-0.00358,0.00231,-0.005181,0.101483,-0.783184,2.389598,4,?,?
171,'2024/12/09 20:06:20:717',4,0.005499,-0.003313,0.000764,0.103024,-0.784468,2.389835,4,?,?
172,'2024/12/09 20:06:20:895',4,0.00032,-0.00807,0.010695,0.103796,-0.783261,2.390974,4,?,?
173,'2024/12/09 20:06:21:112',4,-0.002471,-0.001319,-0.000803,0.103925,-0.782346,2.390743,4,?,?
174,'2024/12/09 20:06:21:314',4,-0.001934,-0.008297,0.000596,0.105117,-0.785465,2.390322,4,?,?
175,'2024/12/09 20:06:21:501',4,-0.013474,0.007761,0.00424,0.105353,-0.783533,2.39074,4,?,?
176,'2024/12/09 20:06:21:723',4,0.012435,-0.001569,-0.000164,0.106558,-0.780696,2.391994,4,?,?
177,'2024/12/09 20:06:21:821',4,0.000007,0.002945,-0.008147,0.106479,-0.782256,2.391677,4,?,?
178,'2024/12/09 20:06:22:029',4,0.000781,0.005938,-0.000569,0.10668,-0.780434,2.39259,4,?,?
179,'2024/12/09 20:06:22:234',4,0.003754,0.001102,0.000951,0.108277,-0.781314,2.391132,4,?,?
180,'2024/12/09 20:06:22:440',4,-0.001833,0.004391,-0.010838,0.107473,-0.779605,2.390861,4,?,?
181,'2024/12/09 20:06:22:644',4,0.006438,-0.00137,0.007011,0.105868,-0.777905,2.393966,4,?,?
182,'2024/12/09 20:06:22:821',4,0.010327,-0.005108,0.005871,0.105961,-0.779571,2.392625,4,?,?
183,'2024/12/09 20:06:23:054',4,0.002193,-0.003711,-0.002915,0.105508,-0.781207,2.392734,4,?,?
184,'2024/12/09 20:06:23:265',4,0.001231,-0.000927,0.006586,0.106497,-0.781937,2.390545,4,?,?
185,'2024/12/09 20:06:23:464',4,0.006346,-0.002366,-0.008131,0.106769,-0.783963,2.390877,4,?,?
186,'2024/12/09 20:06:23:668',4,-0.000364,-0.000092,0.000593,0.106678,-0.784913,2.391934,4,?,?
187,'2024/12/09 20:06:23:875',4,-0.000561,0.000442,-0.005265,0.108258,-0.783524,2.391936,4,?,?
188,'2024/12/09 20:06:24:064',4,0.000005,0.003174,-0.002397,0.108535,-0.782863,2.391962,4,?,?
189,'2024/12/09 20:06:24:285',4,0.012298,-0.005503,-0.000091,0.109615,-0.7815,2.392684,4,?,?
190,'2024/12/09 20:06:24:483',4,0.003543,0.002758,0.003404,0.108839,-0.783261,2.391649,4,?,?
191,'2024/12/09 20:06:24:696',4,-0.001174,0.003124,-0.003458,0.108101,-0.782291,2.389695,4,?,?
192,'2024/12/09 20:06:24:898',4,-0.005882,0.003971,0.000626,0.107802,-0.78268,2.388486,4,?,?
193,'2024/12/09 20:06:25:076',4,0.00711,-0.000645,-0.00956,0.107625,-0.783602,2.387311,4,?,?
194,'2024/12/09 20:06:25:293',4,0.006317,-0.005233,0.003575,0.107645,-0.786947,2.388031,4,?,?
195,'2024/12/09 20:06:25:513',4,-0.004454,0.001807,0.009248,0.108956,-0.787178,2.387774,4,?,?
196,'2024/12/09 20:06:25:709',4,0.005206,-0.005745,0.003002,0.110584,-0.789756,2.389616,4,?,?
197,'2024/12/09 20:06:25:921',4,-0.007946,0.004662,-0.00612,0.110861,-0.789506,2.390583,4,?,?
198,'2024/12/09 20:06:26:024',4,-0.008426,0.004169,-0.00054,0.112254,-0.787409,2.388565,4,?,?
199,'2024/12/09 20:06:26:229',4,-0.005498,-0.004181,0.004051,0.114247,-0.788832,2.3897,4,?,?
200,'2024/12/09 20:06:26:433',4,0.003306,-0.004049,-0.004411,0.114626,-0.786895,2.389446,4,?,?
201,'2024/12/09 20:06:26:621',4,-0.004087,-0.001566,0.005009,0.114975,-0.788753,2.387261,4,?,?
202,'2024/12/09 20:06:33:693',5,0.00192,-0.004575,-0.008808,0.017764,0.75664,2.662418,5,?,?
203,'2024/12/09 20:06:33:910',5,-0.003197,0.002715,0.007304,0.014938,0.755512,2.660259,5,?,?
204,'2024/12/09 20:06:34:112',5,0.012698,-0.00028,0.00338,0.013972,0.7527,2.662388,5,?,?
205,'2024/12/09 20:06:34:324',5,-0.000161,0.002064,0.0177,0.013432,0.753546,2.66251,5,?,?
206,'2024/12/09 20:06:34:420',5,0.001769,0.001469,0.00078,0.013555,0.7545,2.662022,5,?,?
207,'2024/12/09 20:06:34:692',5,-0.008115,-0.001654,0.000588,0.012598,0.752808,2.6638,5,?,?
208,'2024/12/09 20:06:34:823',5,0.000295,0.006821,0.002791,0.010423,0.751799,2.664477,5,?,?
209,'2024/12/09 20:06:35:034',5,-0.003672,-0.004122,0.012269,0.010953,0.752996,2.664472,5,?,?
210,'2024/12/09 20:06:35:241',5,-0.00658,-0.000278,0.00523,0.012005,0.752789,2.666163,5,?,?
211,'2024/12/09 20:06:35:423',5,0.015084,-0.005239,0.004333,0.01208,0.753318,2.666665,5,?,?
212,'2024/12/09 20:06:35:650',5,-0.002327,0.006022,0.013368,0.010279,0.752088,2.668159,5,?,?
213,'2024/12/09 20:06:35:856',5,-0.008047,0.004786,0.007626,0.010066,0.749704,2.665936,5,?,?
214,'2024/12/09 20:06:36:058',5,-0.000318,-0.00361,0.01283,0.009849,0.750712,2.665436,5,?,?
215,'2024/12/09 20:06:36:265',5,-0.006193,0.005334,-0.005979,0.009301,0.750979,2.665411,5,?,?
216,'2024/12/09 20:06:36:469',5,0.002059,0.000043,0.023748,0.009855,0.750946,2.66584,5,?,?
217,'2024/12/09 20:06:36:674',5,-0.003814,-0.000017,0.001518,0.00978,0.750609,2.667586,5,?,?
218,'2024/12/09 20:06:36:881',5,0.004614,-0.00383,0.008138,0.010148,0.750272,2.667307,5,?,?
219,'2024/12/09 20:06:37:074',5,-0.00084,0.004331,0.002885,0.007352,0.753119,2.668858,5,?,?
220,'2024/12/09 20:06:37:276',5,-0.004399,0.000286,0.011546,0.009365,0.750676,2.670655,5,?,?
221,'2024/12/09 20:06:37:494',5,-0.010274,0.001708,-0.009924,0.009536,0.750719,2.670684,5,?,?
222,'2024/12/09 20:06:37:697',5,-0.007775,0.005008,0.006204,0.010059,0.748789,2.673306,5,?,?
223,'2024/12/09 20:06:37:903',5,-0.003386,0.000438,0.020885,0.011226,0.74958,2.671185,5,?,?
224,'2024/12/09 20:06:38:107',5,-0.004902,-0.001545,0.01101,0.006711,0.743583,2.674721,5,?,?
225,'2024/12/09 20:06:38:296',5,-0.011261,0.000196,-0.009394,0.006788,0.742956,2.674446,5,?,?
226,'2024/12/09 20:06:38:512',5,-0.007135,-0.001565,0.017071,0.007865,0.744718,2.674107,5,?,?
227,'2024/12/09 20:06:38:723',5,-0.011269,-0.004974,0.004386,0.010575,0.748899,2.673906,5,?,?
228,'2024/12/09 20:06:38:820',5,0.000026,0.005133,0.009151,0.011436,0.747425,2.673512,5,?,?
229,'2024/12/09 20:06:39:028',5,-0.001122,0.001631,0.010482,0.01158,0.749055,2.675843,5,?,?
230,'2024/12/09 20:06:39:234',5,0.005816,-0.002655,0.001271,0.010605,0.74751,2.676522,5,?,?
231,'2024/12/09 20:06:39:438',5,-0.013435,0.001491,0.009589,0.011242,0.75028,2.676044,5,?,?
